name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
PORTERVILLE DEVELOPMENT CENTER - DP ICF/IID,05G014,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"26501 AVENUE 140
PORTERVILLE, CA 93257",559 782-2222,"26501 AVENUE 140
PORTERVILLE, CA 93257",1980-03-01,512,No,Government,,,CA Department Of Developmental Services,False
GOLDEN STATE CARE CENTER,05G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1758 N BIG DALTON AVENUE
BALDWIN PARK, CA 91706",626 962-3274,"1758 N BIG DALTON AVENUE
BALDWIN PARK, CA 91706",1978-12-01,155,No,For Profit,,,"Foothill Care Center, Inc.",False
HY-LOND GARDEN GROVE,05G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"9861 11TH STREET
GARDEN GROVE, CA 92844",714 531-8741,"9861 11TH STREET
GARDEN GROVE, CA 92844",1978-05-01,59,No,Government,Vol-Other,2019-11-21,BrightSpring,True
EDGEWOOD CENTER,05G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"200 WEST PARAMOUNT
AZUSA, CA 91702",626 334-7861,"200 WEST PARAMOUNT
AZUSA, CA 91702",1978-10-01,45,No,For Profit,,,BrightSpring,True
GLENRIDGE CENTER #140,05G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"611 SOUTH CENTRAL AVENUE
GLENDALE, CA 91204",818 637-7727,"611 SOUTH CENTRAL AVENUE
GLENDALE, CA 91204",1978-11-01,59,No,For Profit,,,BrightSpring,True
FAIRVIEW DEVELOPMENTAL CENTER D/P ICF/IID,05G022,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"2501 HARBOR BOULEVARD
COSTA MESA, CA 92626",714 957-5000,"2501 HARBOR BOULEVARD
COSTA MESA, CA 92626",1978-05-12,792,No,Government,,,CA Department Of Developmental Services,False
HILLDALE HABILITATION CENTER,05G028,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"7979 LA MESA BOULEVARD
LA MESA, CA 91942",619 465-8010,"7979 LA MESA BOULEVARD
LA MESA, CA 91942",1978-11-01,57,No,Non-Profit,,,Razavi Corporation,False
EL ENCANTO HEALTHCARE & HABILITATION CENTER,05G031,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"555 EL ENCANTO ROAD
CITY OF INDUSTRY, CA 91745",626 336-1274,"555 EL ENCANTO ROAD
CITY OF INDUSTRY, CA 91745",1983-03-01,59,No,Non-Profit,,,Industry Convalescent Hospital,False
CASA DE VIDA,05G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"879 MEINECKE AVENUE
SAN LUIS OBISPO, CA 93405",805 544-5332,"879 MEINECKE AVENUE
SAN LUIS OBISPO, CA 93405",1978-09-01,59,No,For Profit,,,BrightSpring,True
HELEN EVANS HOME,05G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"15125 GALE AVE
HACIENDA HEIGHTS, CA 91745",626 330-4048,"15125 GALE AVE
HACIENDA HEIGHTS, CA 91745",1980-04-01,42,No,Government,,,"GSM Healthcare Services, LLC",False
