name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
BENCHMARK HUMAN SERVICES,15G013,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"817 MENDLESON DR
RICHMOND, IN 47374",260 744-6145,"817 MENDLESON DR
RICHMOND, IN 47374",1980-01-01,8,No,Non-Profit,,,BENCHMARK HUMAN SERVICES,False
ADEC INC,15G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"19816-3 SR 120
BRISTOL, IN 46507",574 848-7453,"19816-3 SR 120
BRISTOL, IN 46507",1980-01-01,8,No,Non-Profit,,,ADEC INC,False
ADEC INC,15G024,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"807 MOTTVILLE RD (ST ROAD 15 N)
BRISTOL, IN 46507",574 848-7451,"807 MOTTVILLE RD (ST ROAD 15 N)
BRISTOL, IN 46507",1980-01-01,8,No,Non-Profit,,,ADEC INC,False
ADEC INC,15G030,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"603 HIGHLAND
MIDDLEBURY, IN 46540",574 848-7451,"603 HIGHLAND
MIDDLEBURY, IN 46540",1980-09-01,8,No,Non-Profit,,,ADEC INC,False
PATHFINDER SERVICES INC,15G032,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2 WILLIAMS DRIVE
WABASH, IN 46992",800 833-1571,"2 WILLIAMS DRIVE
WABASH, IN 46992",1980-09-01,7,No,Non-Profit,,,PATHFINDER SERVICES INC,False
PATHFINDER SERVICES INC,15G033,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"260 HALF STREET
WABASH, IN 46992",800 833-1571,"260 HALF STREET
WABASH, IN 46992",1980-09-03,7,No,For Profit,,,PATHFINDER SERVICES INC,False
BENCHMARK HUMAN SERVICES,15G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"820 MENDLESON DR
RICHMOND, IN 47374",260 744-6145,"820 MENDLESON DR
RICHMOND, IN 47374",1981-01-01,8,No,For Profit,,,BENCHMARK HUMAN SERVICES,False
OPPORTUNITY ENTERPRISES INC,15G044,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6381 LUTE RD
PORTAGE, IN 46368",219 464-9621,"6381 LUTE RD
PORTAGE, IN 46368",1985-05-03,8,No,Non-Profit,,,OPPORTUNITY ENTERPRISES INC,False
"PALADIN, INC",15G045,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"829 EARL RD
MICHIGAN CITY, IN 46360",219 324-0656,"829 EARL RD
MICHIGAN CITY, IN 46360",1984-07-01,6,No,Non-Profit,,,"PALADIN, INC",False
BETHESDA LUTHERAN COMMUNITIES INC,15G048,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"110 N NICHOLS ST
LOWELL, IN 46356",219 696-4655,"110 N NICHOLS ST
LOWELL, IN 46356",1981-08-19,6,No,Non-Profit,"Vol-Merg, Close",2018-02-20,BETHESDA LUTHERAN COMMUNITIES INC,False
