name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
NORTH LAKE SERVICES,19G004,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"45439 LIVE OAK DRIVE
HAMMOND, LA 70401",225 567-7201,"45439 LIVE OAK DRIVE
HAMMOND, LA 70401",1982-09-30,163,No,Non-Profit,"Vol-Merg, Close",2017-01-19,EvergreenPresbyterian Ministies,False
ROSEWOOD HOME,19G006,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"5401 SHED ROAD UNIT 131
BOSSIER CITY, LA 71111",318 742-6220,"5401 SHED ROAD UNIT 131
BOSSIER CITY, LA 71111",1982-08-13,15,No,Non-Profit,,,"ARC of Acadiana, Inc.",False
PINECREST SUPPORTS AND SERVICES CENTER,19G007,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"100 PINECREST DRIVE
PINEVILLE, LA 71361",318 641-2000,"100 PINECREST DRIVE
PINEVILLE, LA 71361",1982-09-23,1222,No,Government,,,PINECREST SUPPORTS & SERVICES CENTER,False
ELECTA STREET GROUP HOME,19G009,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1900 ELECTA STREET
RAYNE, LA 70578",337 384-6842,"1900 ELECTA STREET
RAYNE, LA 70578",1983-01-01,8,No,Non-Profit,,,ARC OF ACADIANA,False
ROBINSWOOD SCHOOL,19G010,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4029 AVENUE G
LAKE CHARLES, LA 70615",337 436-6664,"4029 AVENUE G
LAKE CHARLES, LA 70615",1982-09-21,120,No,For Profit,,,"MULTI-CARE, INC.",False
RICHLAND GROUP HOME,19G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"596 MIDWAY CHURCH LANE
DELHI, LA 71232",318 878-3005,"596 MIDWAY CHURCH LANE
DELHI, LA 71232",1982-10-01,9,No,Non-Profit,,,"CDF HEALTHCARE OF LA, LLC",False
PECAN GROVE TRAINING CENTER,19G012,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"5000 THIRD STREET
ALEXANDRIA, LA 71309",318 448-0291,"5000 THIRD STREET
ALEXANDRIA, LA 71309",1982-09-30,102,No,Non-Profit,,,PECAN GROVE TRAINING CENTER,False
ST MARYS RESIDENTIAL TRAINING SCHOOL,19G014,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"6715 HWY 1 NORTH
BOYCE, LA 71409",318 445-6443,"6715 HWY 1 NORTH
BOYCE, LA 71409",1982-09-03,126,No,Non-Profit,,,ST. MARY'S RESIDENTIAL TRAINING SCHOOL,False
CENTRAL LOUISIANA SUPPORTS AND SERVICES CENTER,19G016,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"5400 COLISEUM BLVD
ALEXANDRIA, LA 71303",318 487-5484,"5400 COLISEUM BLVD
ALEXANDRIA, LA 71303",1982-09-30,90,No,Government,,,Central Louisiana Supports and Services Center,False
HOLY ANGELS RESIDENTIAL FACILITY,19G018,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"10450 ELLERBE ROAD
SHREVEPORT, LA 71106",318 797-8500,"10450 ELLERBE ROAD
SHREVEPORT, LA 71106",1982-09-16,108,No,Non-Profit,,,HOLY ANGELS RESIDENTIAL FACILITY,False
