name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
CASWELL CENTER,34G001,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2415 W. VERNON AVENUE
KINSTON, NC 28501",252 559-5100,"2415 W. VERNON AVENUE
KINSTON, NC 28501",1974-03-31,405,No,Government,,,,False
MURDOCH DEVELOPMENTAL CENTER,34G002,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1600 EAST C STREET
BUTNER, NC 27509",919 575-7734,"1600 EAST C STREET
BUTNER, NC 27509",1974-03-31,657,No,Government,,,,False
J. IVERSON RIDDLE DEVELOPMENTAL CENTER,34G003,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"300 ENOLA ROAD
MORGANTON, NC 28655",828 433-2711,"300 ENOLA ROAD
MORGANTON, NC 28655",1974-03-31,490,No,Government,,,,False
O'BERRY NEURO-MEDICAL TREATMENT CENTER,34G004,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"400 OLD SMITHFIELD RD
GOLDSBORO, NC 27530",919 731-3661,"400 OLD SMITHFIELD RD
GOLDSBORO, NC 27530",1974-03-31,485,Yes,Government,,,,False
BEAR CREEK,34G006,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5840 GREENWOOD AVENUE
LA GRANGE, NC 28551",252 566-9181,"5840 GREENWOOD AVENUE
LA GRANGE, NC 28551",1975-06-01,113,No,For Profit,,,"RHA Health Services NC, LLC",False
WALNUT CREEK,34G009,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5709 US 70 EAST
GOLDSBORO, NC 27534",919 778-3524,"5709 US 70 EAST
GOLDSBORO, NC 27534",1980-01-18,37,No,For Profit,,,"RHA Health Services NC, LLC",False
SCI-BURKE ICF/MR GROUP HOME,34G010,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"101 STEPHENS DRIVE
MORGANTON, NC 28655",828 438-6243,"101 STEPHENS DRIVE
MORGANTON, NC 28655",1980-05-14,5,No,Non-Profit,,,"Skill Creations, Inc.",False
BOST CHILDREN'S CENTER,34G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5300 HIGHWAY 200
CONCORD, NC 28025",704 786-1405,"5300 HIGHWAY 200
CONCORD, NC 28025",1980-08-01,10,No,Non-Profit,,,"Piedmont Residential Development Center, Inc.",False
GRANVILLE ICF/MR GROUP HOME,34G013,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5509 DORSEY ROAD
OXFORD, NC 27565",919 693-4610,"5509 DORSEY ROAD
OXFORD, NC 27565",1981-06-22,5,No,For Profit,,,"RHA Health Services NC, LLC",False
FOX RUN/ROBIN'S NEST GROUP HOME,34G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"3845 ROBIN'S NEST ROAD
LA GRANGE, NC 28551",252 566-9543,"3845 ROBIN'S NEST ROAD
LA GRANGE, NC 28551",1982-06-08,12,No,For Profit,,,"RHA Health Services NC, LLC",False
