name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
MANOR HOME,36G005,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"246 N BROADWAY
GENEVA, OH 44041",440 466-1808,"246 N BROADWAY
GENEVA, OH 44041",1982-10-01,47,No,For Profit,,,MANOR HOME,False
BOYD'S KINSMAN HOME,36G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"7929 STATE ROUTE 5
KINSMAN, OH 44428",330 876-5581,"7929 STATE ROUTE 5
KINSMAN, OH 44428",1976-08-21,40,No,Government,,,"BOYD'S KINSMAN HOME, INC.",False
HATTIE LARLHAM CENTER FOR CHILDREN WITH DISABILITI,36G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"9772 DIAGONAL RD
MANTUA, OH 44255",330 274-2272,"9772 DIAGONAL RD
MANTUA, OH 44255",1976-05-01,124,No,Non-Profit,,,HATTIE LARLHAM CENTER FOR CHILDREN WITH DISABILITIES,False
STEWART LODGE,36G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"7774 WARNER RD
MADISON, OH 44057",440 428-7121,"7774 WARNER RD
MADISON, OH 44057",1975-03-01,49,No,For Profit,,,STEWART LODGE,False
LUTHER HOME OF MERCY,36G023,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"5810 N MAIN ST
WILLISTON, OH 43468",419 836-7741,"5810 N MAIN ST
WILLISTON, OH 43468",1975-03-01,97,No,Non-Profit,,,LUTHER HOME OF MERCY,False
LAKELAND,36G025,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"3142 SOUTH COUNTY LINE ROAD
MADISON, OH 44057",440 466-1678,"3142 SOUTH COUNTY LINE ROAD
MADISON, OH 44057",1978-02-27,15,No,For Profit,,,LAKELAND,False
FILLING HOMES,36G026,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"N 160, SR 108, R #5
NAPOLEON, OH 43545",419 592-6451,"N 160, SR 108, R #5
NAPOLEON, OH 43545",1982-09-01,51,No,Non-Profit,,,FILLING HOMES,False
"GABLES,THE",36G027,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"731 LAKE STREET
MADISON, OH 44057",440 428-1519,"731 LAKE STREET
MADISON, OH 44057",1984-11-01,16,No,For Profit,,,GABLES (THE),False
GATEWAYS TO BETTER LIVING #3,36G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"2601 DONALD AVENUE
YOUNGSTOWN, OH 44509",330 799-8710,"2601 DONALD AVENUE
YOUNGSTOWN, OH 44509",1977-03-03,9,No,Non-Profit,,,GATEWAYS TO BETTER LIVING #3,False
LAKE CO BD OF MR/DD/JACKLITZ CONTIN DEV CTR,36G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,OH,"8121 DEEPWOOD BLVD
MENTOR, OH 44060",440 350-5100,"8121 DEEPWOOD BLVD
MENTOR, OH 44060",1977-04-01,15,No,Government,,,JACKLITZ CONTINUING DEVELOPMENT CENTER,False
