name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
ABILENE STATE SUPPORTED LIVING CENTER,45G001,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"2501 MAPLE ST
ABILENE, TX 79602",325 692-4053,"2501 MAPLE ST
ABILENE, TX 79602",1982-06-15,269,No,Government,,,DADS,False
AUSTIN STATE SUPPORTED LIVING CENTER,45G002,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"2203 W 35TH ST
AUSTIN, TX 78767",512 454-4731,"2203 W 35TH ST
AUSTIN, TX 78767",1983-02-01,474,No,Government,,,DADS,False
BRENHAM STATE SUPPORTED LIVING CENTER,45G003,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"HIGHWAY 36 SOUTH
BRENHAM, TX 77833",979 836-4511,"HIGHWAY 36 SOUTH
BRENHAM, TX 77833",1983-06-01,450,No,Non-Profit,,,DADS,False
DENTON STATE SUPPORTED LIVING CENTER,45G004,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"3980 STATE SCHOOL RD
DENTON, TX 76210",940 891-0342,"3980 STATE SCHOOL RD
DENTON, TX 76210",1982-10-14,716,No,Government,,,DADS,False
LUFKIN STATE SUPPORTED LIVING CENTER,45G005,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"HWY 69 N
LUFKIN, TX 75901",936 853-8350,"HWY 69 N
LUFKIN, TX 75901",1983-06-18,486,No,Government,,,DADS,False
MEXIA STATE SUPPORTED LIVING CENTER,45G006,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"540 CHAPEL DRIVE
MEXIA, TX 76667",254 562-2821,"540 CHAPEL DRIVE
MEXIA, TX 76667",1982-05-06,235,No,Government,,,DADS,False
RICHMOND STATE SUPPORTED LIVING CENTER,45G007,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"2100 PRESTON ROAD
RICHMOND, TX 77469",281 232-2075,"2100 PRESTON ROAD
RICHMOND, TX 77469",1982-09-30,664,No,Government,,,DADS,False
SAN ANGELO STATE SUPPORTED LIVING CENTER,45G008,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"HIGHWAY 87
CARLSBAD, TX 76934",325 465-4391,"HIGHWAY 87
CARLSBAD, TX 76934",1983-04-22,178,No,Government,,,DADS,False
LUBBOCK STATE SUPPORTED LIVING CENTER,45G010,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"3401 N UNIVERSITY AVE
LUBBOCK, TX 79415",806 763-7041,"3401 N UNIVERSITY AVE
LUBBOCK, TX 79415",1982-08-06,436,No,Government,,,DADS,False
CORPUS CHRISTI STATE SUPPORTED LIVING CENTER,45G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"902 AIRPORT RD
CORPUS CHRISTI, TX 78405",361 888-5301,"902 AIRPORT RD
CORPUS CHRISTI, TX 78405",1982-09-17,179,No,Government,,,DADS,False
RIO GRANDE STATE CENTER,45G012,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"1401 S RANGERVILLE RD
HARLINGEN, TX 78550",956 364-8000,"1401 S RANGERVILLE RD
HARLINGEN, TX 78550",1983-05-15,110,No,Government,,,DADS,False
FAMILY TREE,45G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"408 N WASHINGTON AVE
BRYAN, TX 77803",979 361-9875,"408 N WASHINGTON AVE
BRYAN, TX 77803",1983-06-22,8,No,Government,,,THE MHMR AUTHORITY OF BRAZOS VALLEY,False
CONCORD MANOR,45G023,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"414 S CENTER
LONGVIEW, TX 75601",903 757-6040,"414 S CENTER
LONGVIEW, TX 75601",1983-06-01,12,No,For Profit,,,SABINE VALLEY CENTER,False
SAGEBRUSH LIVING CENTER,45G024,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"1101 COLUMBIA ST
STAMFORD, TX 79553",325 773-2791,"1101 COLUMBIA ST
STAMFORD, TX 79553",1983-06-01,44,No,For Profit,"Vol-Merg, Close",2020-10-07,,False
HORIZON HOUSE,45G027,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"1604 ARLINGTON ST
WICHITA FALLS, TX 76302",940 723-8048,"1604 ARLINGTON ST
WICHITA FALLS, TX 76302",1985-08-01,6,No,Non-Profit,,,HELEN FARABEE CENTER,False
EISENHAUER GROUP HOME,45G028,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"2927 EISENHAUER ROAD
SAN ANTONIO, TX 78209",210 659-5857,"2927 EISENHAUER ROAD
SAN ANTONIO, TX 78209",1982-07-08,9,No,For Profit,,,BEXAR CO BOARD OF TRUSTEES MHMR SVCS DBA THE CTR FOR HC SVCS,False
WESTBURY HOUSE,45G029,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"5707 WARM SPRINGS
HOUSTON, TX 77035",713 723-5589,"5707 WARM SPRINGS
HOUSTON, TX 77035",1983-03-01,6,No,Government,,,MHMR AUTHORITY OF HARRIS COUNTY,False
LUBBOCK REGIONAL MHMR CENTER 1 30TH ST,45G030,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"1711 30TH ST
LUBBOCK, TX 79408",806 799-1998,"1711 30TH ST
LUBBOCK, TX 79408",1994-02-01,6,No,Government,,,LUBBOCK REGIONAL MHMR,False
MAPLEWOOD SOUTH,45G037,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"8111 BURNING HILLS
HOUSTON, TX 77071",713 271-2534,"8111 BURNING HILLS
HOUSTON, TX 77071",1983-03-01,6,No,For Profit,,,EDUCARE COMMUNITY LIVING CORPORATION - GULF COAST,True
OPPORTUNITY DEVELOPMENT CENTER 2,45G041,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"403 MULBERRY DR
BROWNWOOD, TX 76801",325 643-1336,"403 MULBERRY DR
BROWNWOOD, TX 76801",1983-02-01,13,No,Government,,,CENTRAL TEXAS MHMR CENTER,False
CASA DE LA PROMESA,45G045,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"5310 BLANCO ST
EL PASO, TX 79990",915 778-0879,"5310 BLANCO ST
EL PASO, TX 79990",2003-09-10,8,No,Government,,,EL PASO COMMUNITY MHMR CENTER,False
ABILENE COMMUNITY RESIDENCE,45G046,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"3110 BUFFALO GAP RD
ABILENE, TX 79605",325 691-0810,"3110 BUFFALO GAP RD
ABILENE, TX 79605",1983-06-01,13,No,For Profit,,,"KENMAR RESIDENTIAL SERVICES, INC.",False
ALTERNATE LIVING FACILITY I,45G048,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"1101 S MIRICK AVE
DENISON, TX 75020",903 465-7383,"1101 S MIRICK AVE
DENISON, TX 75020",1983-03-31,10,No,For Profit,,2021-02-14,,False
SAN ANGELO INDEPENDENT LIVING TRAINING RESIDENCE,45G052,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,TX,"20 S KOENIGHEIM
SAN ANGELO, TX 76903",325 655-3884,"20 S KOENIGHEIM
SAN ANGELO, TX 76903",1983-01-21,13,No,Non-Profit,,,THE INSTITUTE OF COGNITIVE DEVELOP  INC,False
