provider_id,name,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
51G002,5TH AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"916 FIFTH AVENUE
SAINT ALBANS, WV 25177",304 720-0015,"916 FIFTH AVENUE
SAINT ALBANS, WV 25177",1981-10-06,9,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G003,POTOMAC CENTER,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"ONE BLUE STREET
ROMNEY, WV 26757",304 822-3861,"ONE BLUE STREET
ROMNEY, WV 26757",1983-11-09,24,No,Non-Profit,,,POTOMAC CENTER,False
51G007,CROSS LANES GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"5202 LINDA VISTA DRIVE
CROSS LANES, WV 25313",304 776-2005,"5202 LINDA VISTA DRIVE
CROSS LANES, WV 25313",1986-11-17,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G008,EIGHTH AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1519 8TH AVENUE
HUNTINGTON, WV 25701",304 523-0177,"1519 8TH AVENUE
HUNTINGTON, WV 25701",1987-03-06,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G009,VIRGINIA AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"821 VIRGINIA AVENUE
HUNTINGTON, WV 25701",304 523-0196,"821 VIRGINIA AVENUE
HUNTINGTON, WV 25701",1987-03-06,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G010,811 S. KANAWHA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"811 S. KANAWHA STREET
BECKLEY, WV 25801",304 252-5937,"811 S. KANAWHA STREET
BECKLEY, WV 25801",1987-02-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G011,1204 S. KANAWHA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1204 S. KANAWHA STREET
BECKLEY, WV 25801",304 252-5676,"1204 S. KANAWHA STREET
BECKLEY, WV 25801",1987-02-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G012,RUSSELL NESBITT APARTMENTS,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"501 MAIN STREET
WHEELING, WV 26003",304 234-3530,"501 MAIN STREET
WHEELING, WV 26003",1987-02-26,8,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G013,MT CLARE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"7782 MOUNT CLARE ROAD
MOUNT CLARE, WV 26408",304 745-3014,"7782 MOUNT CLARE ROAD
MOUNT CLARE, WV 26408",1986-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G014,EAST END GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"300 RUFFNER AVENUE
CHARLESTON, WV 25301",304 341-0242,"300 RUFFNER AVENUE
CHARLESTON, WV 25301",1987-12-08,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G015,LAKEVIEW GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"826 LAKEVIEW DRIVE
PARKERSBURG, WV 26101",304 422-5359,"826 LAKEVIEW DRIVE
PARKERSBURG, WV 26101",1987-12-14,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G016,RIVERVIEW GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"17 12TH STREET
MC MECHEN, WV 26040",304 234-3520,"17 12TH STREET
MC MECHEN, WV 26040",1987-11-24,6,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G017,CHURCH LANE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"226 CHURCH LANE
PRINCETON, WV 24740",304 425-2069,"226 CHURCH LANE
PRINCETON, WV 24740",1987-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G018,OLD BLUEFIELD GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"591 OLD BLUEFIELD ROAD
PRINCETON, WV 24739",304 425-6204,"591 OLD BLUEFIELD ROAD
PRINCETON, WV 24739",1987-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G020,SUMMERSVILLE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"509 DUFFY STREET
SUMMERSVILLE, WV 26651",304 872-2041,"509 DUFFY STREET
SUMMERSVILLE, WV 26651",1988-02-25,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G021,BETSY BROH HOUSE,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1625 6TH AVENUE
HUNTINGTON, WV 25701",304 529-2793,"1625 6TH AVENUE
HUNTINGTON, WV 25701",1988-04-22,6,No,Non-Profit,,,BETSY BROH HOUSE,False
51G022,"REM WV, INC., CURTIS AVENUE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"904 CURTIS AVENUE
MORGANTOWN, WV 26505",304 296-1731,"904 CURTIS AVENUE
MORGANTOWN, WV 26505",1988-05-13,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G023,GABOYA PLACE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"201 SOUTH WATER STREET
MARTINSBURG, WV 25401",304 263-4601,"201 SOUTH WATER STREET
MARTINSBURG, WV 25401",1988-05-19,8,No,For Profit,"Vol-Merg, Close",2019-12-02,,True
51G024,SALEM GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"272 W. MAIN STREET
SALEM, WV 26426",304 782-3068,"272 W. MAIN STREET
SALEM, WV 26426",1988-11-17,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G025,JACKSON AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"330 JACKSON AVENUE
MADISON, WV 25130",304 369-7079,"330 JACKSON AVENUE
MADISON, WV 25130",1988-11-14,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G026,KENOVA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1802 BEECH STREET
KENOVA, WV 25530",304 453-3239,"1802 BEECH STREET
KENOVA, WV 25530",1989-01-13,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G027,GUYANDOTTE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"209 RICHMOND STREET
HUNTINGTON, WV 25702",304 522-6748,"209 RICHMOND STREET
HUNTINGTON, WV 25702",1989-01-13,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G029,BU GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"196 JACK LANE
BUCKHANNON, WV 26201",304 472-5503,"196 JACK LANE
BUCKHANNON, WV 26201",1989-03-27,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G030,SPRING STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1615 SPRING STREET
PARKERSBURG, WV 26101",304 485-0476,"1615 SPRING STREET
PARKERSBURG, WV 26101",1989-04-05,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G031,WASHINGTON STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"400 WASHINGTON STREET
ROMNEY, WV 26757",304 822-3330,"400 WASHINGTON STREET
ROMNEY, WV 26757",1989-04-17,8,No,Non-Profit,,,"POTOMAC CENTER, INCORPORATED",False
51G032,GIHON GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2240 GIHON ROAD
PARKERSBURG, WV 26101",304 485-0482,"2240 GIHON ROAD
PARKERSBURG, WV 26101",1989-04-18,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G033,TEMPLE STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"510 TEMPLE STREET
BECKLEY, WV 25801",304 252-6871,"510 TEMPLE STREET
BECKLEY, WV 25801",1989-05-01,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G034,ARC GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"523 24TH STREET
DUNBAR, WV 25064",304 768-2345,"523 24TH STREET
DUNBAR, WV 25064",1989-05-06,4,No,Non-Profit,,,"ARC OF THE THREE RIVERS, INCORPORATED",False
