clean_owner,HFCISFacilityAddress,HFCISFacilityCity,HFCISFacilityCounty,HFCISFacilityID,HFCISFacilityName,HFCISFacilityZIPCode,HFCISNPINumber,HFCISFacilityProviderNumber,HFCISInitialLicenseDate
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,13272 Dronfield Ave,Sylmar,LOS ANGELES,960001997,UCP DRONFIELD NORTH,91342,1831341874,05G973,1996-02-13
Portsmouth,27695 Portsmouth Ave,Hayward,ALAMEDA,020001191,PORTSMOUTH ICF/DDH,94545,1861534190,55G320,1999-10-27
St. Mary Investments,3706 Pine Ave,Long Beach,LOS ANGELES,960001702,BIXBY KNOLL PLACE,90807,1427265800,05G725,1993-10-28
"LRC Homes, Inc.",24402 Aphena Ave,Mission Viejo,ORANGE,630004641,LORI'S HOME,92691,1588730881,55G559,2006-04-11
MITCHELL HOMES INCORPORATED,1280 Mcandrew Rd,Ojai,VENTURA,050000629,MITCHELL HOME,93023,1750406047,05G578,1992-04-20
"Alta's ICF, Inc",7820 Fruitridge Road,Sacramento,SACRAMENTO,100000170,"ALTA'S ICF, INC.",95820,1760658157,05G132,1984-11-05
Amazing Grace Oasis,13842 Lemongrass Way,Hesperia,SAN BERNARDINO,630016739,AMAZING GRACE OASIS,92344,1386015840,55G759,2017-01-12
Vine Valley Homes-Sharp,8782 Sharp Ave,Sun Valley,LOS ANGELES,630015115,VINE VALLEY HOMES-SHARP,91352,1376968289,55G722,2014-11-26
Jasmine Badillo &amp; Teresita Reyes,101 Hawkesbury Way,Vallejo,SOLANO,630011678,GREENFIELDS IV ICF-DDN,94591,1154583219,55G616,2008-04-16
"Enriching, Inc.",2501 Christopher Ln,Costa Mesa,ORANGE,060001033,"ENRICHING, INC. II",92626,1114068509,05G477,1990-08-10
"T.E.R.I., Inc.",1262 Via Encinos Dr,Fallbrook,SAN DIEGO,090000219,VIA RIO HOUSE,92028,1962488007,05G081,
"Antelope Hills Manor ICF-DDN, Inc.",8014 Rivergreen Drive,Elverta,SACRAMENTO,630015512,RIVERGREEN LODGE ICF/DD-N,95626,1295154862,55G729,2015-04-07
"Allen-Florer Family Homes, Inc.",6074 N 9th St,Fresno,FRESNO,040001363,ALLEN-FLORER FAMILY HOME - NINTH,93710,1225124993,55G445,2002-10-02
Mary Ann B. And Victor P. Opena,6321 Rosemary Dr,Cypress,ORANGE,060001025,JENYMEL'S HOME,90630,1508950601,55G059,1990-01-17
"Heritage Estates, Inc.",304 Wawona Street,Manteca,SAN JOAQUIN,100000998,WAWONA HOME,95337,1356536965,05G499,1991-03-07
"Live-Well ICF, Inc.",11053 Sharp Avenue,Mission Hills,LOS ANGELES,630015857,LIVE-WELL ICF/DD-N,91345,1629466537,55G741,2015-12-16
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,13290 Bradley Ave,Sylmar,LOS ANGELES,960000914,UCP/SCF ICF/DD-N BRADLEY,91342,1477705416,05G284,1987-11-09
"Bethesda Lutheran Communities, Inc.",25232 Las Bolsas,Laguna Hills,ORANGE,060001137,BETHESDA LUTHERAN COMMUNITIES - LAS BOLSAS,92653,1417010604,05G609,1992-07-05
Archibald Group Inc.,2731 E Arabian Pl,Ontario,SAN BERNARDINO,630014591,ARCHIBALD HOUSE,91761,1639412166,55G718,2014-06-10
"Positive Directions, Inc.",816 3rd St,Mc Farland,KERN,120000559,POSITIVE DIRECTIONS #6,93250,1558584102,05G462,1990-06-19
"Cachuela ICF/DD-N Home, Inc.",2208 E Olmstead Way,Anaheim,ORANGE,060001971,OLMSTEAD HOME,92806,1376639609,55G405,2001-05-30
"RichRon, Inc.",1040 S Bubbling Well Rd,West Covina,LOS ANGELES,960002211,R & C QUALITY CARE,91790,1023299740,55G140,1997-09-26
"Isher Group Homes, Inc.",860 W Maple St,Ontario,SAN BERNARDINO,630003741,ISHER CARE HOME,91762,1023153780,55G552,2006-01-25
"T.E.R.I., Inc.",411 Carlo St,San Marcos,SAN DIEGO,090001019,CARLO HOUSE,92078,1962488007,05G650,1993-01-07
Provident Place,20400 Ituma Rd,Apple Valley,SAN BERNARDINO,240001511,ITUMA,92308,1558703827,55G011,1996-04-22
"Monte Vista Child Care Center, Inc.",5754 Jasper St,Rancho Cucamonga,SAN BERNARDINO,240001842,JASPER DIVISION,91701,1912159377,55G383,2001-05-08
Tupaz Homes LLC,4328 Sayoko Cir,San Jose,SANTA CLARA,070000980,TUPAZ HOME #6,95136,1750592119,55G751,1996-05-24
"Santa Lucia II ICF-DDH, Incorporated",722 Lassen St,Vallejo,SOLANO,630012828,"SANTA LUCIA II ICF-DD-H, INCORPORATED",94591,1912336710,55G657,2010-10-26
Milestones Of Development Inc.,178 Sunrise Way,Vallejo,SOLANO,010000162,MILESTONES OF DEVELOPMENT #3,94591,1366650376,05G087,1983-05-03
"Heritage Estates, Inc.",14646 Navajo Way,Manteca,SAN JOAQUIN,100001075,NAVAJO HOME,95336,1356535389,05G593,1992-05-15
"Community Care Initiatives, Inc.|Fisher Trust",39523 Sundale Dr,Fremont,ALAMEDA,020000647,PARK HOUSE,94538,1366584997,05G413,1988-12-14
"Developmental Client Care Industries, Inc.",12581 Shadybend Dr,Moreno Valley,RIVERSIDE,250000574,SHADY BEND HOUSE,92553,1497804041,05G423,1989-12-20
"Positive Directions, Inc.",1371 Griffith Ave,Wasco,KERN,120001299,POSITIVE DIRECTIONS #10,93280,1164887089,55G246,1998-10-08
Gary Green,1494 Arch Way,Chico,BUTTE,230000682,NOVA DEVELOPMENTAL CENTERS - ARCH WAY HOUSE,95973,1225002793,55G204,1998-06-19
"Solidum Care Homes, Inc.",8712 Ensenada Drive,Stockton,SAN JOAQUIN,630015178,SOLIDUM CARE HOME ICF/DD-N #3,95210,1730596214,55G724,2014-12-03
Yolie Crume,1017 E Harvest Moon St,West Covina,LOS ANGELES,960002840,HARVEST MOON ICF/DDN,91792,1295937415,55G615,
"Monte Vista Child Care Center, Inc.",13165 Oaks Ave,Chino,SAN BERNARDINO,240001301,OAKS DIVISION,91710,1467604827,05G756,1994-04-21
Heaven's Heritage Inc.,22201 Tajanta Ct,Apple Valley,SAN BERNARDINO,630018121,TAJANTA CARE HOMES,92307,,55G783,2018-12-27
"Monte Vista Child Care Center, Inc.",13342 Victoria St,Rancho Cucamonga,SAN BERNARDINO,240001751,VICTORIA DIVISION,91739,1467604835,55G418,2000-06-02
Ability Pathways Incorporated,9714 La Tuna Canyon Rd,Sun Valley,LOS ANGELES,960002397,CANYON CREST DIVISION,91352,1467580456,55G250,1999-01-29
Mountain Shadows Support Group,7456 River Glen Dr,Riverside,RIVERSIDE,250001332,MOUNTAIN SHADOWS SPECIAL KIDS HOMES-JUNIPER HOUSE,92509,1407971633,05G808,1994-08-22
