state_name,qcor_name
"ST MARY''''''''''''''''''''''''''''''''''''''''''''''''''''",ST MARYS RESIDENTIAL TRAINING SCHOOL
TERRACE DRIVE COMMUNITY HOME,TERRACE DRIVE GROUP HOME
OLD MOORINGSPORT ROAD COMMUNITY HOME,OLD MOORINGSPORT COMMUNITY HOME
BELL OAKS - HILDA HOUSE,BELL OAKS HILDA HOUSE
"LA TROUVE''","LA TROUVE'"
CYNTHIA G RHODES,CYNTHIA G RHODES HOME
HARMONY CENTER #2,HARMONY CENTER NO 2
STS MARY & ELIZABETH GROUP HOME,STS MARY AND ELIZABETH GROUP HOME
G B COOLEY - SOUTH GRAND GROUP HOME,G B COOLEY SOUTH GRAND GROUP HOME
G B COOLEY - WALNUT GROUP HOME,G B COOLEY WALNUT GROUP HOME
G B COOLEY - SHANNON GROUP HOME,G B COOLEY SHANNON GROUP HOME
G B COOLEY - SPURGEON GROUP HOME,G B COOLEY SPURGEON GROUP HOME
G B COOLEY - TEXAS GROUP HOME,G B COOLEY TEXAS GROUP HOME
JEFFERSON STREET COMMUNITY HOME,JEFFERSON STREET COMMUNITY HOME (INACTIVE)
CONVENTION STREET GROUP HOME,CONVENTION STREET COMMUNITY HOME
LIZETTE COMMUNITY HOME,LIZETTE COMMUMITY HOME
D HEMECOURT,"D'HEMECOURT"
"HELEN''S HOUSE","HELEN'S HOUSE"
OUR DAILY BREAD,OUR DAILY BREAD HOME
MILTON ANDREPONT HOME,MILTON ANDREPONT COMMUNITY HOME
JEFF & NELLIE GUIDRY GROUP HOME,JEFF AND NELLIE GUIDRY GROUP
BELL OAKS - BURTON HOUSE,BELL OAKS BURTON HOUSE
ARGONNE STREET COMMUNITY HOME,ARGONNE COMMUNITY HOME
MOLLYLEA COMMUNITY HOME,MOLLYLEA GROUP HOME
WARREN TAYLOR PRICE SR COMMUNITY HOME,WARREN T PRICE SR COMMUNITY HOME
BELL OAKS - OAK HAVEN COMMUNITY HOME,BELL OAKS OAK HAVEN COMMUNITY
MAGNOLIA MAINE COMMUNITY HOME,MAGNOLIA MAINE STREET COMMUNITY HOME
TWENTY-THIRD STREET COMMUNITY HOME,TWENTY THIRD STREET COMMUNITY
LOBDELL COMMUNITY HOME ,LOBDELL COMMUNITY HOME
"POTTER''S CLAY COMMUNITY HOME","POTTER'S CLAY COMMUNITY HOME"
WEST CARROLL COMMUNITY HOME,WEST CARROLL COMMUNITY HOME
EAST CARROLL COMMUNITY HOME,EAST CARROLL COMMUNITY HOME
GB COOLEY - STUBBS VINSON HOME,G B COOLEY STUBBS VINSON GROUP HOME
MAGNOLIA HICKORY AVENUE II COMMUNITY HOME,MAGNOLIA HICKORY AVENUE II COM
MAGNOLIA SARATOGA AT JEFFERSON HEIGHTS COMMUNITY HOME,MAGNOLIA SARATOGA AT JEFFERSON HEIGHTS C H
HOOPER ROAD COMMUNITY HOME,HOOPER ROAD COMMUNITY
MAGNOLIA SHREWSBURY COURT COMMUNITY HOME,MAGNOLIA SHREWSBERY COURT COMMUNITY HOME
SCOTTWOOD HOME 1,SCOTTWOOD HOME # 1
SCOTTWOOD HOME II,SCOTTWOOD HOME #2
CBS PLACE GROUP HOME,"C B'S PLACE GROUP HOME"
BILLVILLE ROAD COMMUNITY HOME,BILLVILLE COMMUNITY HOME
EB NORTH STREET GROUP HOME,E B NORTH STREET GROUP HOME
HAZEL ST GROUP HOME,HAZEL STREET GROUP HOME
BUTLER ROAD COMMUNITY HOME,BUTLER ROAD COMMUNTIY HOME
GOODWOOD HOME-INACTIVE,GOODWOOD HOME
KING BRADFORD HOME,KING BRADFORD GROUP HOME
NORWICH HOME-INACTIVE,NORWICH HOME
PECOS HOME-INACTIVE,PECOS HOME
PONDEROSA HOME-INACTIVE ,PONDEROSA HOME
MAGNOLIA KAREN GROUP HOME,MAGNOLIA BLOOM GROUP HOME
ARC OF ACADIANA NORTHWEST,ROSEWOOD HOME
575 CENTRAL@ JEFFERSON HEIGHTS GROUP HOME,MAGNOLIA 680 JEFFERSON HEIGHTS COMMUNITY HOME
MAGNOLIA JAMES COMMUNITY HOME,MAGNOLIA DODGE COMMUNITY HOME
HWY 22-EAST COMMUNITY HOME,HWY 22 - EAST COMMUNITY HOME
