name,provider_id,type,region,state,address,phone,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date
WILLIAM D PARTLOW DEVELOPMENTAL CENTER,01G005,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"P O BOX 1730
TUSCALOOSA, AL 35403",205 553-4550,1981-12-14,170,No,Government,"Vol-Merg, Close",2011-12-28
VOANA #20,01G006,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"1000 CHURCH STREET
HUNTSVILLE, AL 35805",256 535-0906,1984-10-25,8,No,Non-Profit,"Vol-Merg, Close",2014-02-03
VOANA #40,01G007,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"1557 HIGHWAY 31 NORTHWEST
HARTSELLE, AL 35640",256 773-3529,1984-10-23,9,No,Non-Profit,"Vol-Merg, Close",2013-06-01
"ARC OF THE SHOALS, THE",01G008,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"901 KELLER LANE
TUSCUMBIA, AL 35674",256 383-1472,1984-10-30,8,No,Non-Profit,"Vol-Merg, Close",2013-01-01
DAVIS / ORMAN INTERMEDIATE CARE FACILITY,01G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"202 HOPE DRIVE
EASTABOGA, AL 36260",256 831-0919,2004-12-09,16,No,For Profit,,
STRICKLAND / STRINGFELLOW ICF/IID,01G012,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,AL,"101 HORIZON DRIVE
EASTABOGA, AL 36260",256 831-0919,2013-12-12,10,No,Non-Profit,,
ATP - WINDSOR,03G001,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"1750 EAST WINDSOR
PHOENIX, AZ 85006",602 230-8197,1989-01-05,12,No,Government,,
ATP - EARLL,03G002,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"3043 NORTH 37TH STREET
PHOENIX, AZ 85018",602 224-9986,1989-01-05,12,No,Government,,
ATP - CAMPBELL,03G003,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2327 WEST CAMPBELL
PHOENIX, AZ 85015",602 230-8494,1989-01-05,12,No,Government,,
ATP - PINCHOT,03G004,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"3322 EAST PINCHOT
PHOENIX, AZ 85018",602 956-7782,1988-12-01,9,No,Government,,
ATP - 40 SANDSTONE COURT,03G006,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,1989-08-14,20,No,Government,,
HACIENDA DE LOS ANGELES,03G008,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"1402 EAST SOUTH MOUNTAIN AVENUE
PHOENIX, AZ 85040",602 243-4231,1990-07-16,60,No,Non-Profit,,
ATP - 10 SANDSTONE,03G010,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,1991-03-11,17,No,Government,,
